datetime,open,high,low,close
2025-04-22 07:30:00,1.15115,1.15157,1.15093,1.15103
2025-04-22 07:45:00,1.15104,1.15212,1.15065,1.15206
2025-04-22 08:00:00,1.15206,1.15405,1.15188,1.15349
2025-04-22 08:15:00,1.15349,1.15406,1.15337,1.15377
2025-04-22 08:30:00,1.15373,1.15411,1.15307,1.15392
2025-04-22 08:45:00,1.15393,1.15406,1.1532,1.15352
2025-04-22 09:00:00,1.1535,1.15394,1.15339,1.15378
2025-04-22 09:15:00,1.15377,1.15405,1.15353,1.15382
2025-04-22 09:30:00,1.15380,1.15405,1.15273,1.15291
2025-04-22 09:45:00,1.15295,1.1535,1.1527,1.15314
2025-04-22 10:00:00,1.15302,1.15334,1.15182,1.15272
2025-04-22 10:15:00,1.15275,1.15471,1.15268,1.15461
2025-04-22 10:30:00,1.15470,1.15474,1.15242,1.15380
2025-04-22 10:45:00,1.15382,1.15478,1.1535,1.15423
2025-04-22 11:00:00,1.15423,1.15463,1.15319,1.15328
2025-04-22 11:15:00,1.15331,1.15368,1.15235,1.15299
2025-04-22 11:30:00,1.15305,1.15313,1.15067,1.15071
2025-04-22 11:45:00,1.15065,1.15152,1.14959,1.15000
2025-04-22 12:00:00,1.15011,1.15046,1.14916,1.14976
2025-04-22 12:15:00,1.14976,1.15087,1.14965,1.15037
2025-04-22 12:30:00,1.15053,1.15097,1.14834,1.14843
2025-04-22 12:45:00,1.14841,1.15067,1.1483,1.15057
2025-04-22 13:00:00,1.15060,1.15103,1.14942,1.15048
2025-04-22 13:15:00,1.15046,1.1515,1.14961,1.15101
2025-04-22 13:30:00,1.15091,1.15155,1.14958,1.14969
2025-04-22 13:45:00,1.14959,1.151,1.14944,1.14993
2025-04-22 14:00:00,1.14997,1.15083,1.14963,1.15030
2025-04-22 14:15:00,1.15037,1.15058,1.14955,1.14975
2025-04-22 14:30:00,1.14976,1.15063,1.14962,1.15056
2025-04-22 14:45:00,1.15055,1.1506,1.14875,1.14925
2025-04-22 15:00:00,1.14906,1.15009,1.14878,1.14988
2025-04-22 15:15:00,1.14992,1.15001,1.14922,1.14976
2025-04-22 15:30:00,1.14969,1.1501,1.14913,1.14962
2025-04-22 15:45:00,1.14976,1.14979,1.14883,1.14886
2025-04-22 16:00:00,1.14884,1.14944,1.14839,1.1491
2025-04-22 16:15:00,1.14911,1.14928,1.14836,1.14875
2025-04-22 16:30:00,1.14866,1.14939,1.14858,1.14919
2025-04-22 16:45:00,1.14925,1.1501,1.14849,1.14860
2025-04-22 17:00:00,1.14861,1.14909,1.14737,1.14806
2025-04-22 17:15:00,1.14807,1.14813,1.14614,1.1469
2025-04-22 17:30:00,1.14698,1.14766,1.14692,1.14731
2025-04-22 17:45:00,1.14703,1.14775,1.14652,1.14702
2025-04-22 18:00:00,1.14705,1.14726,1.14565,1.14646
2025-04-22 18:15:00,1.14646,1.14682,1.14617,1.14651
2025-04-22 18:30:00,1.14647,1.14674,1.14572,1.14661
2025-04-22 18:45:00,1.14665,1.14855,1.14657,1.14755
2025-04-22 19:00:00,1.14741,1.14758,1.1461,1.14650
2025-04-22 19:15:00,1.14655,1.14712,1.14626,1.14656
2025-04-22 19:30:00,1.14639,1.14925,1.14635,1.14858
2025-04-22 19:45:00,1.14857,1.14908,1.14741,1.14778
2025-04-22 20:00:00,1.14780,1.14861,1.14765,1.14833
2025-04-22 20:15:00,1.14834,1.14848,1.14756,1.14790
2025-04-22 20:30:00,1.14771,1.14816,1.14768,1.14786
2025-04-22 20:45:00,1.14794,1.14806,1.14635,1.14647
2025-04-22 21:00:00,1.14655,1.14693,1.14494,1.14599
2025-04-22 21:15:00,1.14597,1.14618,1.14397,1.14514
2025-04-22 21:30:00,1.14512,1.1453,1.14425,1.14461
2025-04-22 21:45:00,1.14461,1.14474,1.14329,1.14347
2025-04-22 22:00:00,1.14342,1.14377,1.14307,1.14344
2025-04-22 22:15:00,1.14345,1.14493,1.14342,1.14446
2025-04-22 22:30:00,1.14447,1.14516,1.1432,1.14333
2025-04-22 22:45:00,1.14342,1.14545,1.14338,1.14511
2025-04-22 23:00:00,1.14504,1.14508,1.14365,1.14403
2025-04-22 23:15:00,1.14403,1.14416,1.14342,1.1436
2025-04-22 23:30:00,1.14353,1.14391,1.14233,1.14299
2025-04-22 23:45:00,1.14314,1.1432,1.14225,1.14273
2025-04-23 00:00:00,1.14264,1.143,1.14224,1.14238
2025-04-23 00:15:00,1.14241,1.1428,1.14218,1.14275
2025-04-23 00:30:00,1.14277,1.14345,1.1425,1.14287
2025-04-23 00:45:00,1.14285,1.1429,1.14195,1.14208
2025-04-23 01:00:00,1.14211,1.14296,1.14197,1.14278
2025-04-23 01:15:00,1.14276,1.1431,1.14195,1.14202
2025-04-23 01:30:00,1.14203,1.14219,1.14175,1.14184
2025-04-23 01:45:00,1.14184,1.14248,1.1417,1.14215
2025-04-23 02:00:00,1.14238,1.14305,1.14202,1.1426
2025-04-23 02:15:00,1.14263,1.14318,1.14079,1.14083
2025-04-23 02:30:00,1.14071,1.14071,1.13697,1.13792
2025-04-23 02:45:00,1.13768,1.1377,1.1362,1.1362
2025-04-23 03:00:00,1.13671,1.13698,1.13336,1.13582
2025-04-23 03:15:00,1.13585,1.1359,1.13485,1.13485
2025-04-23 03:30:00,1.13267,1.13371,1.13072,1.13338
2025-04-23 03:45:00,1.13346,1.13452,1.13325,1.13384
2025-04-23 04:00:00,1.13376,1.13581,1.13288,1.13542
2025-04-23 04:15:00,1.13542,1.13602,1.13463,1.13477
2025-04-23 04:30:00,1.13478,1.13623,1.13434,1.13614
2025-04-23 04:45:00,1.13616,1.13628,1.13431,1.13506
2025-04-23 05:00:00,1.13498,1.13716,1.13488,1.13682
2025-04-23 05:15:00,1.13682,1.13756,1.13658,1.13725
2025-04-23 05:30:00,1.13728,1.1386,1.13717,1.13807
2025-04-23 05:45:00,1.13807,1.13967,1.1377,1.13962
2025-04-23 06:00:00,1.13977,1.14042,1.13842,1.13870
2025-04-23 06:15:00,1.13874,1.1397,1.1386,1.13914
2025-04-23 06:30:00,1.13911,1.1409,1.13906,1.14076
2025-04-23 06:45:00,1.1409,1.14159,1.14049,1.14068
2025-04-23 07:00:00,1.14071,1.14112,1.13949,1.14
2025-04-23 07:15:00,1.14002,1.14028,1.1394,1.13967
2025-04-23 07:30:00,1.13973,1.14017,1.13898,1.13990
2025-04-23 07:45:00,1.13990,1.14052,1.13986,1.14047
2025-04-23 08:00:00,1.14048,1.14056,1.13951,1.13966
2025-04-23 08:15:00,1.13956,1.1396,1.13777,1.13837
2025-04-23 08:30:00,1.13833,1.13877,1.1373,1.13807
2025-04-23 08:45:00,1.13817,1.13871,1.13777,1.13813
2025-04-23 09:00:00,1.13793,1.13823,1.13706,1.13719
2025-04-23 09:15:00,1.13721,1.13861,1.13705,1.13829
2025-04-23 09:30:00,1.1383,1.13885,1.13811,1.13869
2025-04-23 09:45:00,1.13880,1.13921,1.13857,1.13901
2025-04-23 10:00:00,1.13902,1.13955,1.13864,1.13941
2025-04-23 10:15:00,1.13936,1.14005,1.13874,1.13888
2025-04-23 10:30:00,1.13902,1.13958,1.13803,1.13807
2025-04-23 10:45:00,1.13811,1.13823,1.13709,1.13769
2025-04-23 11:00:00,1.13769,1.13957,1.13746,1.13904
2025-04-23 11:15:00,1.13898,1.13968,1.13805,1.13837
2025-04-23 11:30:00,1.13843,1.13861,1.13749,1.13849
2025-04-23 11:45:00,1.13854,1.13902,1.13791,1.13867
2025-04-23 12:00:00,1.13853,1.13951,1.13781,1.13906
2025-04-23 12:15:00,1.13907,1.14058,1.1383,1.14034
2025-04-23 12:30:00,1.13978,1.141,1.13883,1.13926
2025-04-23 12:45:00,1.13926,1.13964,1.13813,1.13836
2025-04-23 13:00:00,1.13867,1.13924,1.1379,1.13844
2025-04-23 13:15:00,1.13846,1.13967,1.13824,1.13953
2025-04-23 13:30:00,1.13946,1.14065,1.13906,1.14061
2025-04-23 13:45:00,1.1406,1.14157,1.14048,1.14131
2025-04-23 14:00:00,1.14129,1.14316,1.14124,1.14256
2025-04-23 14:15:00,1.14263,1.144,1.14248,1.14296
2025-04-23 14:30:00,1.14302,1.14404,1.14299,1.14321
2025-04-23 14:45:00,1.14309,1.14317,1.14178,1.14193
2025-04-23 15:00:00,1.14183,1.14198,1.14052,1.14057
2025-04-23 15:15:00,1.1406,1.14095,1.13946,1.13976
2025-04-23 15:30:00,1.13976,1.1407,1.13898,1.14048
2025-04-23 15:45:00,1.14050,1.14065,1.1399,1.14018
2025-04-23 16:00:00,1.14020,1.14053,1.13858,1.13999
2025-04-23 16:15:00,1.13998,1.14042,1.13877,1.13943
2025-04-23 16:30:00,1.13976,1.14159,1.1397,1.14149
2025-04-23 16:45:00,1.14146,1.14162,1.14057,1.14102
2025-04-23 17:00:00,1.14108,1.14204,1.14069,1.14094
2025-04-23 17:15:00,1.14096,1.14123,1.14019,1.14043
2025-04-23 17:30:00,1.14044,1.14138,1.1402,1.14081
2025-04-23 17:45:00,1.14078,1.14139,1.14025,1.14056
2025-04-23 18:00:00,1.14054,1.1413,1.14029,1.14057
2025-04-23 18:15:00,1.14046,1.14111,1.13984,1.13989
2025-04-23 18:30:00,1.13977,1.14088,1.13783,1.13969
2025-04-23 18:45:00,1.13978,1.14023,1.13371,1.13379
2025-04-23 19:00:00,1.13353,1.137,1.13267,1.13681
2025-04-23 19:15:00,1.13688,1.1383,1.13492,1.13576
2025-04-23 19:30:00,1.13587,1.13657,1.13519,1.13580
2025-04-23 19:45:00,1.13579,1.1377,1.13456,1.13512
2025-04-23 20:00:00,1.13533,1.13596,1.13449,1.13508
2025-04-23 20:15:00,1.13509,1.1384,1.13434,1.13793
2025-04-23 20:30:00,1.13797,1.13806,1.13645,1.13691
2025-04-23 20:45:00,1.13685,1.13703,1.13465,1.13494
2025-04-23 21:00:00,1.1349,1.13606,1.13441,1.13565
2025-04-23 21:15:00,1.13566,1.1366,1.13482,1.13519
2025-04-23 21:30:00,1.13509,1.13552,1.13463,1.13488
2025-04-23 21:45:00,1.13481,1.13517,1.13365,1.13387
2025-04-23 22:00:00,1.13403,1.13441,1.13312,1.13318
2025-04-23 22:15:00,1.13319,1.13356,1.1326,1.13308
2025-04-23 22:30:00,1.13322,1.13411,1.13306,1.13313
2025-04-23 22:45:00,1.13304,1.13362,1.13247,1.13298
2025-04-23 23:00:00,1.13295,1.13308,1.13212,1.13282
2025-04-23 23:15:00,1.13301,1.13307,1.1318,1.13196
2025-04-23 23:30:00,1.13187,1.13228,1.13151,1.13175
2025-04-23 23:45:00,1.13169,1.13263,1.13165,1.13234
2025-04-24 00:00:00,1.13233,1.13297,1.1318,1.1325
2025-04-24 00:15:00,1.13263,1.13323,1.13239,1.13312
2025-04-24 00:30:00,1.13311,1.13319,1.13191,1.13251
2025-04-24 00:45:00,1.13251,1.13285,1.13221,1.13275
2025-04-24 01:00:00,1.13274,1.13291,1.13212,1.13231
2025-04-24 01:15:00,1.13233,1.13238,1.13104,1.13121
2025-04-24 01:30:00,1.13122,1.13161,1.13105,1.13135
2025-04-24 01:45:00,1.13132,1.1317,1.13107,1.13147
2025-04-24 02:00:00,1.13178,1.13275,1.13143,1.1323
2025-04-24 02:15:00,1.1323,1.13263,1.13132,1.13176
2025-04-24 02:30:00,1.13176,1.13205,1.13148,1.13176
2025-04-24 03:30:00,1.13363,1.13428,1.1333,1.13390
2025-04-24 03:45:00,1.13390,1.13397,1.1332,1.13325
2025-04-24 04:00:00,1.13323,1.13391,1.13305,1.13329
2025-04-24 04:15:00,1.13329,1.13359,1.13269,1.13301
2025-04-24 04:30:00,1.13302,1.13344,1.13279,1.13339
2025-04-24 04:45:00,1.13339,1.13361,1.13261,1.13295
2025-04-24 05:00:00,1.13295,1.13304,1.13214,1.13281
2025-04-24 05:15:00,1.13284,1.13416,1.13231,1.13396
2025-04-24 05:30:00,1.13390,1.13405,1.13298,1.13318
2025-04-24 05:45:00,1.13318,1.13471,1.13298,1.13464
2025-04-24 06:00:00,1.13437,1.13495,1.13396,1.13450
2025-04-24 06:15:00,1.13450,1.1357,1.13417,1.13549
2025-04-24 06:30:00,1.13545,1.13566,1.13472,1.13531
2025-04-24 06:45:00,1.13532,1.13581,1.13481,1.13498
2025-04-24 07:00:00,1.13502,1.13576,1.13463,1.13535
2025-04-24 07:15:00,1.1355,1.13559,1.1346,1.13529
2025-04-24 07:30:00,1.13529,1.13547,1.13479,1.13519
2025-04-24 07:45:00,1.13514,1.13568,1.13493,1.13560
2025-04-24 08:00:00,1.13553,1.13564,1.13434,1.13448
2025-04-24 08:15:00,1.13451,1.13464,1.13411,1.13445
2025-04-24 08:30:00,1.13447,1.13465,1.13372,1.13383
2025-04-24 08:45:00,1.13388,1.13435,1.13362,1.13403
2025-04-24 09:00:00,1.13386,1.13426,1.13319,1.13393
2025-04-24 09:15:00,1.13394,1.13415,1.13366,1.13372
2025-04-24 09:30:00,1.13379,1.13402,1.13322,1.13348
2025-04-24 09:45:00,1.13338,1.13418,1.13332,1.13393
2025-04-24 10:00:00,1.13392,1.1341,1.13339,1.13349
2025-04-24 10:15:00,1.13349,1.13443,1.13335,1.13420
2025-04-24 10:30:00,1.13414,1.13458,1.13305,1.13349
2025-04-24 10:45:00,1.13346,1.13416,1.13333,1.13363
2025-04-24 11:00:00,1.13364,1.13514,1.13357,1.13489
2025-04-24 11:15:00,1.13489,1.13527,1.13469,1.1348
2025-04-24 11:30:00,1.13477,1.13547,1.13463,1.13503
2025-04-24 11:45:00,1.13513,1.13545,1.13472,1.13533
2025-04-24 12:00:00,1.13523,1.13655,1.13515,1.1364
2025-04-24 12:15:00,1.13649,1.1375,1.13619,1.13733
2025-04-24 12:30:00,1.13734,1.13778,1.13704,1.13729
2025-04-24 12:45:00,1.13728,1.13811,1.13717,1.13783
2025-04-24 13:00:00,1.13786,1.13937,1.13761,1.13831
2025-04-24 13:15:00,1.13833,1.13847,1.1375,1.13776
2025-04-24 13:30:00,1.13776,1.13853,1.13622,1.13747
2025-04-24 13:45:00,1.13748,1.13829,1.13704,1.13807
2025-04-24 14:00:00,1.13806,1.13916,1.13784,1.13837
2025-04-24 14:15:00,1.13837,1.13896,1.138,1.13837
2025-04-24 14:30:00,1.13839,1.13846,1.13748,1.13778
2025-04-24 14:45:00,1.13779,1.1388,1.13751,1.13844
2025-04-24 15:00:00,1.13845,1.13948,1.1379,1.13912
2025-04-24 15:15:00,1.13916,1.13936,1.13865,1.13875
2025-04-24 15:30:00,1.13873,1.13919,1.13806,1.13825
2025-04-24 15:45:00,1.13824,1.13901,1.13759,1.13793
2025-04-24 16:00:00,1.13793,1.1389,1.13781,1.13874
2025-04-24 16:15:00,1.13877,1.13911,1.13849,1.13893
2025-04-24 16:30:00,1.13882,1.13891,1.13744,1.13838
2025-04-24 16:45:00,1.13822,1.13855,1.13682,1.1373
2025-04-24 17:00:00,1.13727,1.1379,1.1369,1.13705
2025-04-24 17:15:00,1.13706,1.13714,1.13612,1.13647
2025-04-24 17:30:00,1.13653,1.13717,1.13586,1.13674
2025-04-24 17:45:00,1.13676,1.13788,1.13664,1.13766
2025-04-24 18:00:00,1.13769,1.13845,1.13748,1.13782
2025-04-24 18:15:00,1.13778,1.13804,1.1371,1.13734
2025-04-24 18:30:00,1.13746,1.13803,1.13694,1.13733
2025-04-24 18:45:00,1.13732,1.13776,1.13632,1.1377
2025-04-24 19:00:00,1.13762,1.13875,1.13707,1.13819
2025-04-24 19:15:00,1.13817,1.13859,1.1374,1.13810
