"Index","EURUSD=X.Open","EURUSD=X.High","EURUSD=X.Low","EURUSD=X.Close","EURUSD=X.Volume","EURUSD=X.Adjusted"
"2008-01-01",1.46010971069336,1.46299362182617,1.45819365978241,1.46200966835022,0,1.46200966835022
"2008-01-02",1.46230900287628,1.4742956161499,1.46010971069336,1.47169208526611,0,1.47169208526611
"2008-01-03",1.47169208526611,1.47789084911346,1.46939980983734,1.47449123859406,0,1.47449123859406
"2008-01-04",1.47470879554749,1.48181080818176,1.46989643573761,1.47549211978912,0,1.47549211978912
"2008-01-07",1.47520911693573,1.47520911693573,1.46670579910278,1.4682993888855,0,1.4682993888855
"2008-01-08",1.55921113491058,1.5592839717865,1.55298793315887,1.55709874629974,0,1.55709874629974
"2008-01-09",1.4706963300705,1.47399139404297,1.46430039405823,1.46640467643738,0,1.46640467643738
"2008-01-10",1.4662971496582,1.48119616508484,1.46520149707794,1.48010015487671,0,1.48010015487671
"2008-01-11",1.48020958900452,1.48159122467041,1.47660326957703,1.47900557518005,0,1.47900557518005
"2008-01-14",1.48080134391785,1.49120187759399,1.48010015487671,1.48690032958984,0,1.48690032958984
"2008-01-15",1.48690032958984,1.49200284481049,1.47789084911346,1.48020958900452,0,1.48020958900452
"2008-01-16",1.48020958900452,1.48590612411499,1.46109116077423,1.46640467643738,0,1.46640467643738
"2008-01-17",1.46591031551361,1.47050178050995,1.45959830284119,1.46400022506714,0,1.46400022506714
"2008-01-18",1.46419322490692,1.468989610672,1.46019506454468,1.46179592609406,0,1.46179592609406
"2008-01-21",1.4600031375885,1.4600031375885,1.44189870357513,1.44200265407562,0,1.44200265407562
"2008-01-22",1.44229376316071,1.46849346160889,1.43729794025421,1.46479368209839,0,1.46479368209839
"2008-01-23",1.46440768241882,1.46509408950806,1.45190560817719,1.46320760250092,0,1.46320760250092
"2008-01-24",1.46299362182617,1.47760689258575,1.45979011058807,1.47741043567657,0,1.47741043567657
"2008-01-25",1.47741043567657,1.47741043567657,1.46640467643738,1.46750223636627,0,1.46750223636627
"2008-01-28",1.46929180622101,1.47990298271179,1.46659815311432,1.47880864143372,0,1.47880864143372
"2008-01-29",1.47859001159668,1.47880864143372,1.4742956161499,1.47719216346741,0,1.47719216346741
"2008-01-30",1.47719216346741,1.48740911483765,1.47579681873322,1.48310732841492,0,1.48310732841492
"2008-01-31",1.48299741744995,1.49140202999115,1.48130595684052,1.48650252819061,0,1.48650252819061
"2008-02-01",1.48659086227417,1.49320590496063,1.47970592975616,1.47999060153961,0,1.47999060153961
"2008-02-04",1.48029732704163,1.48460471630096,1.47959637641907,1.4827995300293,0,1.4827995300293
"2008-02-05",1.48330533504486,1.48330533504486,1.46250152587891,1.46380734443665,0,1.46380734443665
"2008-02-06",1.46370017528534,1.46670579910278,1.45959830284119,1.46171045303345,0,1.46171045303345
"2008-02-07",1.46160364151001,1.46490097045898,1.44519102573395,1.44789040088654,0,1.44789040088654
"2008-02-08",1.55709874629974,1.55709874629974,1.55409824848175,1.55709874629974,0,1.55709874629974
"2008-02-11",1.45319271087646,1.45770466327667,1.44860351085663,1.45020008087158,0,1.45020008087158
"2008-02-12",1.45030534267426,1.46089899539948,1.45020008087158,1.45819365978241,0,1.45819365978241
"2008-02-13",1.45770466327667,1.45940661430359,1.45380532741547,1.4556040763855,0,1.4556040763855
"2008-02-14",1.45579481124878,1.46470785140991,1.45509576797485,1.46440768241882,0,1.46440768241882
